position,docid,date,court,title
1,232602,1999-10-15,Andhra HC (Pre-Telangana),"Sunkara Satyanarayana vs State Of Andhra Pradesh, Home ... on 15 October, 1999"
2,107953018,2019-10-22,Bombay High Court,"Vinit Kumar vs Central Burau Of Investigation And Ors on 22 October, 2019"
3,144183758,2025-07-02,Madras High Court,"P.Kishore vs The Secretary To Government on 2 July, 2025"
4,174513855,2022-01-03,Kerala High Court,"S.K.Pavithran vs Laisy Santhosh on 3 January, 2022"
5,37517217,2013-10-07,Supreme Court of India,"Thalappalam Ser.Coop.Bank Ltd.& Ors vs State Of Kerala & Ors on 7 October, 2013"
6,973841,1996-12-18,Supreme Court of India,"People`S Union For Civilliberties ... vs The Union Of India And Another on 18 December, 1996"
7,31276692,1996-12-18,Supreme Court of India,"People'S Union Of Civil Liberties ... vs Union Of India (Uoi) And Anr. on 18 December, 1996"
8,698472,2008-09-01,Supreme Court of India,"State Of Maharashtra vs Bharat Shanti Lal Shah & Ors on 1 September, 2008"
9,58730926,2013-12-11,Supreme Court of India,"Suresh Kumar Koushal & Anr vs Naz Foundation & Ors on 11 December, 2013"
10,1330899,2009-08-07,Supreme Court of India,"Bhavesh Jayanti Lakhani vs State Of Maharashtra & Ors on 7 August, 2009"
11,100472805,2009-07-02,Delhi High Court,"Naz Foundation vs Government Of Nct Of Delhi And Others on 2 July, 2009"
12,103640961,2023-01-03,Supreme Court of India,"Kaushal Kishor vs The State Of Uttar Pradesh Govt. Of U.P. ... on 3 January, 2023"
13,141379817,2019-02-13,Punjab-Haryana High Court,"Mahipal Singh And Others vs State Of Haryana And Others on 13 February, 2019"
14,116396036,2015-08-11,Supreme Court of India,"Justice K.S.Puttaswamy(Retd)& Anr vs Union Of India & Ors on 11 August, 2015"
15,170404652,2020-06-30,Delhi High Court,"Deepti Kapur vs Kunal Julka on 30 June, 2020"
16,1058685,2007-12-20,Andhra HC (Pre-Telangana),"Rayala M. Bhuvaneswari vs Nagaphanender Rayala on 20 December, 2007"
17,51782092,2017-06-09,Supreme Court - Daily Orders,"Binoy Visman vs Union Of India on 9 June, 2017"
18,87379349,2021-03-12,Karnataka High Court,"Mr. Virendra Khanna vs State Of Karnataka By: on 12 March, 2021"
19,167208227,2010-10-08,Delhi High Court,"Captain (Mrs.) Krishna vs Uoi & Ors. on 8 October, 2010"
20,188911314,2021-08-03,Madras High Court,"Karthick Theodre vs The Registrar General on 3 August, 2021"
21,18655137,2014-10-10,Bombay High Court,"Sanj Daily Lokopchar Through Its Owner ... vs Gokul Govindlal Sananda on 10 October, 2014"
22,770800,1998-12-11,Allahabad High Court,"Rajesh Kumar And Anr. vs State Of U.P. And Ors. on 11 December, 1998"
23,6887309,2013-12-17,Central Information Commission,"Mr.Ani Datt Sharma vs Mcd, Gnct Delhi on 17 December, 2013"
24,153513175,2016-05-06,Bombay High Court,"Shaikh Zahid Mukhtar vs The State Of Maharashtra Through ... on 6 May, 2016"
25,142754318,2022-04-22,Kerala High Court,"Suo Motu vs Travancore Devaswom Board - Tdb on 22 April, 2022"
26,10892972,2022-07-15,Andhra Pradesh High Court - Amravati,"Udathu Suresh vs The State Of Andhra Pradesh And 4 Others on 15 July, 2022"
27,152020280,2021-06-10,Delhi High Court,"Krishna Kishore Singh vs Sarla A Saraogi & Ors. on 10 June, 2021"
28,148358566,2021-01-12,Allahabad High Court,"Smt.Safiya Sultana Thru. Husband ... vs State Of U.P. Thru. Secy. Home, Lko. & ... on 12 January, 2021"
29,162443093,2020-12-07,Telangana High Court,"Shahbaz Nawaz Shahbaz vs The State Of Telangana on 7 December, 2020"
